agent_id,agent_type,Product,analysis_model,analysis_model_id,analysis_thinking_config,liking,predicted_liking,visual_similarity,texture_similarity,flavor_similarity
system1_01,system1,J22,flash_lite_25,gemini-2.5-flash-lite,null,6.5,6.0,4,4,4
system1_01,system1,J22,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",6.5,6.667,4,5,4
system1_01,system1,J17,flash_lite_25,gemini-2.5-flash-lite,null,5.0,2.667,2,2,3
system1_01,system1,J17,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",5.0,5.333,4,3,4
system1_01,system1,J11,flash_lite_25,gemini-2.5-flash-lite,null,6.5,4.667,4,3,3
system1_01,system1,J11,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",6.5,5.333,5,3,3
system1_01,system1,J29,flash_lite_25,gemini-2.5-flash-lite,null,8.5,8.0,5,5,5
system1_01,system1,J29,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",8.5,8.667,5,6,5
system1_01,system1,J25,flash_lite_25,gemini-2.5-flash-lite,null,5.0,2.667,2,3,2
system1_01,system1,J25,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",5.0,3.333,3,3,2
system1_01,system1,J07,flash_lite_25,gemini-2.5-flash-lite,null,7.0,5.333,3,3,5
system1_01,system1,J07,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",7.0,5.333,3,3,5
system1_02,system1,J22,flash_lite_25,gemini-2.5-flash-lite,null,8.5,8.667,6,5,5
system1_02,system1,J22,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",8.5,8.667,6,5,5
system1_02,system1,J17,flash_lite_25,gemini-2.5-flash-lite,null,4.5,4.0,3,3,3
system1_02,system1,J17,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,4.667,3,4,3
system1_02,system1,J11,flash_lite_25,gemini-2.5-flash-lite,null,2.0,0.0,1,1,1
system1_02,system1,J11,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",2.0,1.333,2,2,1
system1_02,system1,J29,flash_lite_25,gemini-2.5-flash-lite,null,4.5,3.333,3,2,3
system1_02,system1,J29,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,4.667,4,3,3
system1_02,system1,J25,flash_lite_25,gemini-2.5-flash-lite,null,3.0,1.333,2,1,2
system1_02,system1,J25,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",3.0,2.667,3,2,2
system1_02,system1,J07,flash_lite_25,gemini-2.5-flash-lite,null,5.0,4.0,2,3,4
system1_02,system1,J07,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",5.0,4.667,3,3,4
system1_03,system1,J22,flash_lite_25,gemini-2.5-flash-lite,null,8.5,8.0,5,5,5
system1_03,system1,J22,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",8.5,9.333,6,5,6
system1_03,system1,J17,flash_lite_25,gemini-2.5-flash-lite,null,6.5,4.667,3,4,3
system1_03,system1,J17,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",6.5,5.333,3,4,4
system1_03,system1,J11,flash_lite_25,gemini-2.5-flash-lite,null,8.5,8.667,5,5,6
system1_03,system1,J11,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",8.5,9.333,5,6,6
system1_03,system1,J29,flash_lite_25,gemini-2.5-flash-lite,null,6.5,6.667,5,4,4
system1_03,system1,J29,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",6.5,5.333,4,3,4
system1_03,system1,J25,flash_lite_25,gemini-2.5-flash-lite,null,3.0,3.333,2,4,2
system1_03,system1,J25,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",3.0,4.0,3,4,2
system1_03,system1,J07,flash_lite_25,gemini-2.5-flash-lite,null,7.0,7.333,4,5,5
system1_03,system1,J07,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",7.0,8.0,4,5,6
system1_04,system1,J22,flash_lite_25,gemini-2.5-flash-lite,null,7.0,6.667,5,4,4
system1_04,system1,J22,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",7.0,8.667,6,5,5
system1_04,system1,J17,flash_lite_25,gemini-2.5-flash-lite,null,4.5,2.667,2,3,2
system1_04,system1,J17,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,3.333,3,3,2
system1_04,system1,J11,flash_lite_25,gemini-2.5-flash-lite,null,3.0,2.0,2,2,2
system1_04,system1,J11,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",3.0,2.667,3,2,2
system1_04,system1,J29,flash_lite_25,gemini-2.5-flash-lite,null,6.0,4.667,3,4,3
system1_04,system1,J29,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",6.0,6.667,4,5,4
system1_04,system1,J25,flash_lite_25,gemini-2.5-flash-lite,null,4.0,2.0,2,2,2
system1_04,system1,J25,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.0,3.333,3,3,2
system1_04,system1,J07,flash_lite_25,gemini-2.5-flash-lite,null,7.0,6.667,4,4,5
system1_04,system1,J07,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",7.0,7.333,4,4,6
system1_05,system1,J22,flash_lite_25,gemini-2.5-flash-lite,null,6.5,5.333,4,3,4
system1_05,system1,J22,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",6.5,6.0,4,4,4
system1_05,system1,J17,flash_lite_25,gemini-2.5-flash-lite,null,5.0,4.0,3,3,3
system1_05,system1,J17,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",5.0,6.0,4,4,4
system1_05,system1,J11,flash_lite_25,gemini-2.5-flash-lite,null,2.0,0.0,1,1,1
system1_05,system1,J11,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",2.0,2.0,2,2,2
system1_05,system1,J29,flash_lite_25,gemini-2.5-flash-lite,null,4.5,4.0,3,3,3
system1_05,system1,J29,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",4.5,4.0,3,3,3
system1_05,system1,J25,flash_lite_25,gemini-2.5-flash-lite,null,2.0,1.333,2,2,1
system1_05,system1,J25,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",2.0,1.333,2,2,1
system1_05,system1,J07,flash_lite_25,gemini-2.5-flash-lite,null,3.0,0.0,1,1,1
system1_05,system1,J07,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",3.0,2.0,2,2,2
system1_06,system1,J22,flash_lite_25,gemini-2.5-flash-lite,null,8.5,8.0,5,5,5
system1_06,system1,J22,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",8.5,10.0,6,6,6
system1_06,system1,J17,flash_lite_25,gemini-2.5-flash-lite,null,5.5,3.333,3,3,2
system1_06,system1,J17,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",5.5,4.667,3,4,3
system1_06,system1,J11,flash_lite_25,gemini-2.5-flash-lite,null,2.0,1.333,2,2,1
system1_06,system1,J11,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",2.0,2.0,2,2,2
system1_06,system1,J29,flash_lite_25,gemini-2.5-flash-lite,null,5.0,3.333,2,3,3
system1_06,system1,J29,g3_flash_low,gemini-3-flash-preview,"{""thinkingLevel"": ""low""}",5.0,4.667,2,4,4
