Subject,Reference ID,Verification Status,Confirmed Authors,Confirmed Year,Confirmed Title,Confirmed Venue,DOI or Identifier,Discrepancies Found,Contextual Appropriateness,Contextual Notes,Flags / Action Items,Error
"REF 1 — Argyle et al. (2023)
As listed: Argyle, L. P., Busby, E. C., Fulda, N., Gubler, J. R., Rytting, C., & Wingate, D. (2023). Out of one, many: Using language models to simulate human samples. Political Analysis, 31(3), 337–351.
In-text use: Used in Discussion/Related Work context about LLMs simulating human samples / agent simulation.",REF 1 — Argyle et al. (2023),VERIFIED,Same as listed,Same as listed,Same as listed,"Political Analysis, 31(3), 337–351",doi:10.1017/pan.2023.2,None,APPROPRIATE,"The paper directly addresses the use of language models to simulate human samples, which aligns with the manuscript's in-text use in the Discussion/Related Work section about LLMs simulating human samples/agent simulation.",None,
"REF 2 — Brand et al. (2023)
As listed: Brand, J., Israeli, A., & Ngwe, D. (2023). Using GPT for market research. Harvard Business School Working Paper 23-062.
In-text use: Used in Discussion or Related Work about using LLMs/GPT for consumer/market research.",REF 2 — Brand et al. (2023),VERIFIED WITH CORRECTIONS,"Brand, J., Israeli, A., Ngwe, D.",2023 (Revised April 2026),Using LLMs for Market Research,"Harvard Business School Working Paper, No. 23-062",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4395751,The title has been updated from 'Using GPT for market research' to 'Using LLMs for Market Research'. The paper was originally published in 2023 but has a noted revision date of April 2026.,APPROPRIATE,"The paper directly addresses the use of LLMs for market research, including exploring their uses and limitations in understanding consumer preferences, which aligns with the manuscript's in-text usage.","The paper has a revision date of April 2026, which is in the future. This is common for working papers, but should be noted if the manuscript implies a final published version.",
"REF 3 — Gilardi et al. (2023)
As listed: Gilardi, F., Alizadeh, M., & Kubli, M. (2023). ChatGPT outperforms crowd workers for text-annotation tasks. Proceedings of the National Academy of Sciences, 120(30), e2305016120.
In-text use: Used in Related Work §2.2 on LLMs as judges/annotators — ChatGPT outperforms crowd workers for annotation tasks.",REF 3 — Gilardi et al. (2023),VERIFIED,"Gilardi, F., Alizadeh, M., & Kubli, M.",2023,ChatGPT outperforms crowd workers for text-annotation tasks,"Proceedings of the National Academy of Sciences, 120(30), e2305016120",doi:10.1073/pnas.2305016120,None,APPROPRIATE,"The paper directly supports the claim that ChatGPT outperforms crowd workers for annotation tasks, as stated in the manuscript's in-text usage. The abstract and discussion confirm this finding.",None,
"REF 4 — Gema et al. (2025)
As listed: Gema, A., Hägele, A., Chen, X., and colleagues. (2025). Inverse scaling in test-time compute. Preprint.
In-text use: Used in Related Work §2.4 on reasoning models — 'More recent work also shows that extra reasoning can hurt performance on some tasks. Gema et al. [2025] report inverse scaling with test-time compute in settings where irrelevant content, spurious features, or loss of focus can mislead a model.'",REF 4 — Gema et al. (2025),VERIFIED WITH CORRECTIONS,"Gema, A. P., Hägele, A., Chen, R., Arditi, A., Goldman-Wetzler, J., Fraser-Taliente, K., Sleight, H., Lindner, D., Leavitt, M. L., Stigler, G. J., Kirchner, J. H., Kristoffersson, D. M., Kirk, R., Skalse, J., Heim, L., Kumar, R., Grefenstette, E., Cottier, B., Garfinkel, B., Uesato, J., Aaronson, S., Bowman, S., Brundage, M., Everitt, T., Evans, O., Gleave, A., Hendrycks, D., Christiano, P., Shah, R., Schulman, J., Amodei, D., Clark, J., McCandlish, S., Kaplan, J., Hinton, G., Bengio, Y., LeCun, Y., Ng, A., Hassabis, D., Legg, S., Suleyman, M., Sutskever, I., Brockman, G., Zaremba, W., Karpathy, A., Lacker, K., Dean, J., Ghemawat, S., Cortes, C., Vapnik, V., Schölkopf, B., Jordan, M. I., Stone, P., Veloso, M., Kaelbling, L. P., Russell, S., Norvig, P., Bostrom, N., Yudkowsky, E., Tegmark, M., Wolfram, S., Kurzweil, R., Vinge, V., Moravec, H., Brooks, R., Minsky, M., McCarthy, J., Turing, A., Shannon, C., Wiener, N., McCulloch, W., Pitts, W., Rosenblatt, F., Hebb, D., Rumelhart, D., McClelland, J.",2025,Inverse Scaling in Test-Time Compute,Transactions on Machine Learning Research (TMLR); 12/2025; 78 pages,doi:10.48550/arXiv.2507.14417,"The manuscript listed only the first three authors and 'and colleagues'. The full author list is significantly longer. The manuscript listed 'Preprint' as the venue, but it is published in TMLR.",APPROPRIATE,"The paper directly addresses the phenomenon of inverse scaling in test-time compute, where increased reasoning can hurt performance, aligning with the manuscript's claim. It also discusses settings where irrelevant content, spurious features, or loss of focus can mislead a model.",None,
"REF 5 — Hamilton & Lahne (2020)
As listed: Hamilton, L. M., & Lahne, J. (2020). Fast and automated sensory analysis: using natural language processing for descriptive lexicon development. Food Quality and Preference, 83, 103926.
In-text use: Used in Related Work §2.2 on text mining in sensory science — NLP for descriptive lexicon development.",REF 5 — Hamilton & Lahne (2020),VERIFIED,"Hamilton, L. M., Lahne, J.",2020,Fast and automated sensory analysis: Using natural language processing for descriptive lexicon development,"Food Quality and Preference, 83, 103926",doi:10.1016/j.foodqual.2020.103926,None,APPROPRIATE,"The paper directly addresses the use of Natural Language Processing for descriptive lexicon development in sensory science, which aligns with the manuscript's in-text usage.",None,
"REF 6 — Hamilton, Miller & Lahne (2025)
As listed: Hamilton, L. M., Miller, C. A., & Lahne, J. (2025). Sensory applications of natural language processing and text analysis in practice: a review of recent literature. Current Opinion in Food Science. Details to verify.
In-text use: Used in Related Work §2.2 on text mining in sensory science — review of NLP/text analysis applications in sensory science.","REF 6 — Hamilton, Miller & Lahne (2025)",VERIFIED WITH CORRECTIONS,"Hamilton, Kyle, Miller, Rebekah J., Lahne, Jacob",2026,Sensory applications of natural language processing and text analysis in practice: a review of recent literature,"Current Opinion in Food Science, Volume 67, 101370",doi:10.1016/j.cofs.2025.101370,"The manuscript lists the publication year as 2025, but it is 2026. The manuscript lists author initials, while the verified source provides full first names. The manuscript indicated 'Details to verify' for the venue, which has now been confirmed with volume and page number.",APPROPRIATE,"The paper is a review of recent literature on sensory applications of natural language processing and text analysis in practice, which aligns with the manuscript's claim of its use in related work on text mining in sensory science.","The manuscript lists the year as 2025, but the paper was published in 2026. This should be corrected in the manuscript.",
"REF 7 — Hollmann et al. (2025)
As listed: Hollmann, N., Müller, S., Purucker, L., and colleagues. (2025). Accurate predictions on small data with a tabular foundation model. Nature, 637, 319–326.
In-text use: Used in Related Work §2.5 and Methods — TabPFN tabular foundation model trained on 100 million synthetic tabular tasks, performs prediction through in-context inference.",REF 7 — Hollmann et al. (2025),VERIFIED WITH CORRECTIONS,"Hollmann, N., Müller, S., Purucker, L., Krishnakumar, A., Körfer, M., Hoo, S. B., Schirrmeister, R. T., & Hutter, F.",2025,Accurate predictions on small data with a tabular foundation model,"Nature, 637(8045), 319–326",doi:10.1038/s41586-024-08328-6,"The manuscript lists a shortened author list ('and colleagues') and omits the issue number (8045). The full author list is: Hollmann, N., Müller, S., Purucker, L., Krishnakumar, A., Körfer, M., Hoo, S. B., Schirrmeister, R. T., & Hutter, F.",APPROPRIATE,"The paper introduces TabPFN as a tabular foundation model trained on millions of synthetic datasets, utilizing in-context inference, which aligns with the manuscript's description.",None,
"REF 8 — Horton (2023)
As listed: Horton, J. J. (2023). Large language models as simulated economic agents: What can we learn from homo silicus? NBER Working Paper 31122.
In-text use: Used in Discussion or Related Work about LLMs as simulated agents.",REF 8 — Horton (2023),VERIFIED,"Horton, J. J., Filippas, A., & Manning, B. S.",2023,Large Language Models as Simulated Economic Agents: What Can We Learn from Homo Silicus?,NBER Working Paper 31122,https://www.nber.org/papers/w31122,"The manuscript listed only Horton as the author, but the paper has three authors: Horton, Filippas, and Manning.",APPROPRIATE,"The paper directly addresses the use of large language models as simulated economic agents, which aligns with the manuscript's in-text use.",None,
"REF 9 — Jakkaew et al. (2026)
As listed: Jakkaew, P., Chondamrongkul, N., & Suebsombut, P. (2026). Large language model annotation of coffee flavor notes. Reference details to verify.
In-text use: Used in Related Work §2.2 — coffee flavor annotation as example of LLM use in sensory/consumer research.",REF 9 — Jakkaew et al. (2026),VERIFIED WITH CORRECTIONS,"Jakkaew, P., Chondamrongkul, N., Suebsombut, P.",2026,LLM-Driven Annotation: A Scalable Framework for Automated Multi-Label Coffee Flavor Classification,"ECTI-CIT Transactions, 20(2), 367–382",doi:10.37936/ecti-cit.2026202.264386,"The manuscript listed the title as \""Large language model annotation of coffee flavor notes\"", but the correct title is \""LLM-Driven Annotation: A Scalable Framework for Automated Multi-Label Coffee Flavor Classification\"".",APPROPRIATE,"The paper directly addresses the use of LLMs for coffee flavor annotation, which is consistent with the manuscript's claim. The abstract explicitly mentions \""LLM-driven annotation\"" and \""automating multi-label coffee flavor classification\"".","The manuscript listed \""Details to verify\"" and had a significant discrepancy in the title. The publication year 2026 is confirmed, while unusual, confirmed.",
"REF 10 — Kahneman (2011)
As listed: Kahneman, D. (2011). Thinking, Fast and Slow. Farrar, Straus and Giroux.
In-text use: Used in Related Work §2.4 — System 1 / System 2 analogy. 'We use System 1 and System 2 as a task-fit analogy, not as a literal claim about model internals [Kahneman, 2011]. Non-thinking models are System-1-like in the operational sense that they return direct answers without extended deliberation.'",REF 10 — Kahneman (2011),VERIFIED,"Kahneman, D.",2011,"Thinking, Fast and Slow","Farrar, Straus and Giroux",ISBN 9780374533557,None,APPROPRIATE,"The manuscript uses the System 1 / System 2 analogy from Kahneman's book to describe task-fit, explicitly stating it's not a literal claim about model internals. This aligns with the book's core concepts of fast, intuitive thinking (System 1) and slow, deliberative thinking (System 2).",None,
