agent_id,agent_type,decision_style_en,preference_summary_en,ideal_visual_fr,ideal_texture_fr,ideal_flavor_fr,salt_preference,texture_priority,flavor_priority,generator_model,generator_thinking_config
system1_01,system1,I just grab what looks good and tastes great without overthinking it.,"I like my ham juicy and flavorful, with a satisfying bite. The smell should be inviting, and the taste should be rich and comforting.","Une belle couleur rose pâle, pas trop foncée, avec peut-être quelques petites marbrures de gras qui promettent du moelleux.","Ah, ça doit fondre en bouche, mais pas trop mou non plus, juste cette petite résistance agréable quand on croque dedans.","Un bon goût de jambon, un peu fumé, pas trop salé, qui rappelle les bons repas de famille.",moderate,moderate,high,gemini-2.5-flash-lite,null
system1_02,system1,"I just grab what looks good and feels right, no time for thinking!",I like ham that's pink and juicy. The taste should be comforting and familiar.,"Ah, un beau jambon, bien rose, pas trop pâle, avec juste ce qu'il faut de gras pour être appétissant. Il faut qu'il ait l'air frais, bien sûr !","J'aime quand ça fond un peu dans la bouche, mais que ça reste un peu ferme sous la dent. Pas caoutchouteux, hein !","Un bon goût de porc, pas trop fort, un peu fumé peut-être, et juste assez salé pour réveiller les papilles. Un goût réconfortant, quoi.",moderate,moderate,high,gemini-2.5-flash-lite,null
system1_03,system1,I just grab what looks good and feels right.,"I like my ham to be juicy and taste like real ham, not too salty.","Une belle couleur rose pâle, pas trop artificielle, avec juste un peu de gras qui brille.","Souple, fondante, qui se mâche facilement sans être caoutchouteuse.","Un bon goût de porc, un peu fumé, pas trop salé, juste ce qu'il faut.",low,moderate,high,gemini-2.5-flash-lite,null
system1_04,system1,"I just grab what looks good and feels right, no need to overthink it.","I like my cooked ham to look appealing and taste really good. The texture should be pleasant, not too mushy or too tough.","Une belle couleur rose pâle, ni trop foncée ni trop claire, avec peut-être une petite touche de gras qui donne envie.","Ça doit fondre un peu en bouche, mais garder une légère mâche, pas du tout caoutchouteux.","Un bon goût de porc, savoureux et réconfortant, pas fade du tout.",moderate,moderate,high,gemini-2.5-flash-lite,null
system1_05,system1,"I just grab what looks good and feels right, no time for thinking!",I like ham that looks juicy and fresh. The taste should be satisfying and not too salty.,"Ah, une belle tranche de jambon, bien rose, avec juste ce qu'il faut de gras brillant, pas trop pâle, pas trop foncée, qui donne envie tout de suite !","Mmmh, quelque chose de fondant, qui fond dans la bouche, mais avec un petit peu de mâche, pas mou quoi, juste assez pour sentir que c'est du bon jambon.","Un bon goût de porc, savoureux, un peu fumé peut-être, mais pas artificiel, juste le goût authentique du jambon qui réconforte.",moderate,moderate,high,gemini-2.5-flash-lite,null
system1_06,system1,"I grab what looks good and smells delicious, no time for thinking!","I want ham that is juicy and tastes like real ham, not too salty. It should be soft and easy to eat.","Une belle couleur rose pâle, pas trop artificielle, avec peut-être quelques petites marbrures de gras qui donnent envie.","Ça doit fondre dans la bouche, un peu moelleux mais pas mou, une sensation agréable et pas caoutchouteuse.","Un bon goût de porc, subtil, avec une pointe de sel juste ce qu'il faut, ça doit sentir bon le fait maison.",moderate,moderate,high,gemini-2.5-flash-lite,null
system1_07,system1,I just grab what looks good and tastes yummy!,"I like ham that's tender and not too salty. It should smell and taste like real, good ham.","J'aime quand c'est rose pâle, avec juste un peu de gras qui brille, pas trop sec ni trop humide.","Ah, il faut que ça fonde un peu en bouche, pas caoutchouteux, juste tendre et moelleux.","Un bon goût de porc, un peu fumé peut-être, mais pas artificiel, juste savoureux quoi !",moderate,high,high,gemini-2.5-flash-lite,null
system1_08,system1,"I just grab what looks good and tastes right, no overthinking!","I like ham that's moist and has a good, savory taste. The less watery, the better.","Une belle couleur rose, pas trop pâle ni trop foncée, avec juste ce qu'il faut de gras visible pour donner envie.","Ah, ça doit fondre un peu en bouche, mais pas être mou. Une légère résistance, c'est parfait.","Un goût de porc bien présent, savoureux, avec une petite pointe fumée peut-être ? Pas trop salé, juste ce qu'il faut.",moderate,high,high,gemini-2.5-flash-lite,null
system1_09,system1,"I just grab what looks good and tastes yummy, no thinking needed!","I love ham that looks fresh and smells amazing. The taste should be comforting and satisfying, not too complicated.","Une belle couleur rosée, pas trop pâle, pas trop foncée. Ça doit avoir l'air frais, juteux, avec une petite brillance satinée, pas sec du tout.","Moelleux, fondant en bouche, ça se découpe facilement sans être mou. Juste un petit peu de mâche, pas caoutchouteux.","Un bon goût de porc, légèrement salé, avec une petite note fumée subtile qui réchauffe. Quelque chose de réconfortant, pas trop fort.",moderate,moderate,high,gemini-2.5-flash-lite,null
system1_10,system1,"I just grab what looks good and feels right, no need to overthink it.","I like my cooked ham to look appealing and taste delicious. The texture should be satisfying, not too mushy or too tough.","Une belle couleur rose pâle, ni trop vive ni trop terne, avec peut-être une légère brillance satinée. Pas de parties trop sèches ou grisâtres.","Ça doit fondre un peu en bouche, mais avoir juste assez de mâche pour être agréable. Surtout pas caoutchouteux !","Un bon goût de porc, subtilement salé et avec une petite note fumée légère, c'est parfait. Pas un goût artificiel ou trop fort.",moderate,high,high,gemini-2.5-flash-lite,null
